scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence,score
Steelwork,Steelwork,Steelwork,,63.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,64.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,65.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,66.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,67.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,68.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,69.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,70.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,71.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,72.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,73.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,74.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,75.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,76.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,77.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,78.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,79.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,80.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,81.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,82.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,83.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,84.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,85.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,86.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,87.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,88.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,89.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,90.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,91.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,92.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,93.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,94.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,95.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,96.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,97.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,98.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,99.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,100.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,101.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,102.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,103.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,104.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,105.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,106.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,107.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,108.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,109.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,110.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,111.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,112.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,113.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,114.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,115.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,116.0,UNMATCHED,UNMATCHED,0.0
