item_id,Scope - Electrics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,,,,,item_id_norm,Scope - Electrics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,nan_norm,scope_category,vendor_id
5.14,,,,0.0,,,,0.0,,,,,,,,,5.14,,,,,,,,,Electrics,A
5.15,,,,0.0,,,,0.0,,,,,,,,,5.15,,,,,,,,,Electrics,A
5.16,,,,0.0,,,,0.0,,,,,,,,,5.16,,,,,,,,,Electrics,A
5.17,,,,0.0,,,,0.0,,,,,,,,,5.17,,,,,,,,,Electrics,A
5.18,,,,0.0,,,,0.0,,,,,,,,,5.18,,,,,,,,,Electrics,A
5.19,,,,0.0,,,,0.0,,,,,,,,,5.19,,,,,,,,,Electrics,A
5.20,,,,0.0,,,,0.0,,,,,,,,,5.20,,,,,,,,,Electrics,A
5.21,,,,0.0,,,,0.0,,,,,,,,,5.21,,,,,,,,,Electrics,A
5.22,,,,0.0,,,,0.0,,,,,,,,,5.22,,,,,,,,,Electrics,A
5.23,,,,0.0,,,,0.0,,,,,,,,,5.23,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
5.,"Total Price: 
",,,,,,,0.0,,,,,,,,,5.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
6.,,,,,,,,,,,,,,,,,6.,,,,,,,,,Electrics,A
6.1,,,,0.0,,,,0.0,,,,,,,,,6.1,,,,,,,,,Electrics,A
6.2,,,,0.0,,,,0.0,,,,,,,,,6.2,,,,,,,,,Electrics,A
6.3,,,,0.0,,,,0.0,,,,,,,,,6.3,,,,,,,,,Electrics,A
6.4,,,,0.0,,,,0.0,,,,,,,,,6.4,,,,,,,,,Electrics,A
6.5,,,,0.0,,,,0.0,,,,,,,,,6.5,,,,,,,,,Electrics,A
6.6,,,,0.0,,,,0.0,,,,,,,,,6.6,,,,,,,,,Electrics,A
6.7,,,,0.0,,,,0.0,,,,,,,,,6.7,,,,,,,,,Electrics,A
6.8,,,,0.0,,,,0.0,,,,,,,,,6.8,,,,,,,,,Electrics,A
6.9,,,,0.0,,,,0.0,,,,,,,,,6.9,,,,,,,,,Electrics,A
6.10,,,,0.0,,,,0.0,,,,,,,,,6.10,,,,,,,,,Electrics,A
6.11,,,,0.0,,,,0.0,,,,,,,,,6.11,,,,,,,,,Electrics,A
6.12,,,,0.0,,,,0.0,,,,,,,,,6.12,,,,,,,,,Electrics,A
6.13,,,,0.0,,,,0.0,,,,,,,,,6.13,,,,,,,,,Electrics,A
6.14,,,,0.0,,,,0.0,,,,,,,,,6.14,,,,,,,,,Electrics,A
6.15,,,,0.0,,,,0.0,,,,,,,,,6.15,,,,,,,,,Electrics,A
6.16,,,,0.0,,,,0.0,,,,,,,,,6.16,,,,,,,,,Electrics,A
6.17,,,,0.0,,,,0.0,,,,,,,,,6.17,,,,,,,,,Electrics,A
6.18,,,,0.0,,,,0.0,,,,,,,,,6.18,,,,,,,,,Electrics,A
6.19,,,,0.0,,,,0.0,,,,,,,,,6.19,,,,,,,,,Electrics,A
6.20,,,,0.0,,,,0.0,,,,,,,,,6.20,,,,,,,,,Electrics,A
6.21,,,,0.0,,,,0.0,,,,,,,,,6.21,,,,,,,,,Electrics,A
6.22,,,,0.0,,,,0.0,,,,,,,,,6.22,,,,,,,,,Electrics,A
6.23,,,,0.0,,,,0.0,,,,,,,,,6.23,,,,,,,,,Electrics,A
6.24,,,,0.0,,,,0.0,,,,,,,,,6.24,,,,,,,,,Electrics,A
6.25,,,,0.0,,,,0.0,,,,,,,,,6.25,,,,,,,,,Electrics,A
6.26,,,,0.0,,,,0.0,,,,,,,,,6.26,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
6.,"Total Price: 
",,,,,,,0.0,,,,,,,,,6.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
7.,,,,,,,,,,,,,,,,,7.,,,,,,,,,Electrics,A
7.1,,,,0.0,,,,0.0,,,,,,,,,7.1,,,,,,,,,Electrics,A
7.2,,,,0.0,,,,0.0,,,,,,,,,7.2,,,,,,,,,Electrics,A
7.3,,,,0.0,,,,0.0,,,,,,,,,7.3,,,,,,,,,Electrics,A
7.4,,,,0.0,,,,0.0,,,,,,,,,7.4,,,,,,,,,Electrics,A
7.5,,,,0.0,,,,0.0,,,,,,,,,7.5,,,,,,,,,Electrics,A
7.6,,,,0.0,,,,0.0,,,,,,,,,7.6,,,,,,,,,Electrics,A
7.7,,,,0.0,,,,0.0,,,,,,,,,7.7,,,,,,,,,Electrics,A
7.8,,,,0.0,,,,0.0,,,,,,,,,7.8,,,,,,,,,Electrics,A
7.9,,,,0.0,,,,0.0,,,,,,,,,7.9,,,,,,,,,Electrics,A
7.10,,,,0.0,,,,0.0,,,,,,,,,7.10,,,,,,,,,Electrics,A
7.11,,,,0.0,,,,0.0,,,,,,,,,7.11,,,,,,,,,Electrics,A
7.12,,,,0.0,,,,0.0,,,,,,,,,7.12,,,,,,,,,Electrics,A
7.13,,,,0.0,,,,0.0,,,,,,,,,7.13,,,,,,,,,Electrics,A
7.14,,,,0.0,,,,0.0,,,,,,,,,7.14,,,,,,,,,Electrics,A
7.15,,,,0.0,,,,0.0,,,,,,,,,7.15,,,,,,,,,Electrics,A
7.16,,,,0.0,,,,0.0,,,,,,,,,7.16,,,,,,,,,Electrics,A
7.17,,,,0.0,,,,0.0,,,,,,,,,7.17,,,,,,,,,Electrics,A
7.18,,,,0.0,,,,0.0,,,,,,,,,7.18,,,,,,,,,Electrics,A
7.19,,,,0.0,,,,0.0,,,,,,,,,7.19,,,,,,,,,Electrics,A
7.20,,,,0.0,,,,0.0,,,,,,,,,7.20,,,,,,,,,Electrics,A
7.21,,,,0.0,,,,0.0,,,,,,,,,7.21,,,,,,,,,Electrics,A
7.22,,,,0.0,,,,0.0,,,,,,,,,7.22,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
7.,"Total Price: 
",,,,,,,0.0,,,,,,,,,7.,total price:,,,,,,,,Electrics,A
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,A
8.,,,,,,,,,,,,,,,,,8.,,,,,,,,,Electrics,A
8.1,,,,0.0,,,,0.0,,,,,,,,,8.1,,,,,,,,,Electrics,A
8.2,,,,0.0,,,,0.0,,,,,,,,,8.2,,,,,,,,,Electrics,A
8.3,,,,0.0,,,,0.0,,,,,,,,,8.3,,,,,,,,,Electrics,A
8.4,,,,0.0,,,,0.0,,,,,,,,,8.4,,,,,,,,,Electrics,A
