item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
5.,"Total Price: 
",,,,,,,0.0,,,,,5.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
6.,,,,,,,,,,,,,6.,,,,,,,,ATS Mechanics v2,B
6.1,,,,0.0,,,,0.0,,,,,6.1,,,,,,,,ATS Mechanics v2,B
6.2,,,,0.0,,,,0.0,,,,,6.2,,,,,,,,ATS Mechanics v2,B
6.3,,,,0.0,,,,0.0,,,,,6.3,,,,,,,,ATS Mechanics v2,B
6.4,,,,0.0,,,,0.0,,,,,6.4,,,,,,,,ATS Mechanics v2,B
6.5,,,,0.0,,,,0.0,,,,,6.5,,,,,,,,ATS Mechanics v2,B
6.6,,,,0.0,,,,0.0,,,,,6.6,,,,,,,,ATS Mechanics v2,B
6.7,,,,0.0,,,,0.0,,,,,6.7,,,,,,,,ATS Mechanics v2,B
6.8,,,,0.0,,,,0.0,,,,,6.8,,,,,,,,ATS Mechanics v2,B
6.9,,,,0.0,,,,0.0,,,,,6.9,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
6.,"Total Price: 
",,,,,,,0.0,,,,,6.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
7.,,,,,,,,,,,,,7.,,,,,,,,ATS Mechanics v2,B
7.1,,,,0.0,,,,0.0,,,,,7.1,,,,,,,,ATS Mechanics v2,B
7.2,,,,0.0,,,,0.0,,,,,7.2,,,,,,,,ATS Mechanics v2,B
7.3,,,,0.0,,,,0.0,,,,,7.3,,,,,,,,ATS Mechanics v2,B
7.4,,,,0.0,,,,0.0,,,,,7.4,,,,,,,,ATS Mechanics v2,B
7.12,,,,0.0,,,,0.0,,,,,7.12,,,,,,,,ATS Mechanics v2,B
7.13,,,,0.0,,,,0.0,,,,,7.13,,,,,,,,ATS Mechanics v2,B
7.14,,,,0.0,,,,0.0,,,,,7.14,,,,,,,,ATS Mechanics v2,B
7.16,,,,0.0,,,,0.0,,,,,7.16,,,,,,,,ATS Mechanics v2,B
7.17,,,,0.0,,,,0.0,,,,,7.17,,,,,,,,ATS Mechanics v2,B
7.18,,,,0.0,,,,0.0,,,,,7.18,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
7.,"Total Price: 
",,,,,,,0.0,,,,,7.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
8.,,,,,,,,,,,,,8.,,,,,,,,ATS Mechanics v2,B
8.1,,,,0.0,,,,0.0,,,,,8.1,,,,,,,,ATS Mechanics v2,B
8.2,,,,0.0,,,,0.0,,,,,8.2,,,,,,,,ATS Mechanics v2,B
8.3,,,,0.0,,,,0.0,,,,,8.3,,,,,,,,ATS Mechanics v2,B
8.4,,,,0.0,,,,0.0,,,,,8.4,,,,,,,,ATS Mechanics v2,B
8.5,,,,0.0,,,,0.0,,,,,8.5,,,,,,,,ATS Mechanics v2,B
8.6,,,,0.0,,,,0.0,,,,,8.6,,,,,,,,ATS Mechanics v2,B
8.7,,,,0.0,,,,0.0,,,,,8.7,,,,,,,,ATS Mechanics v2,B
8.8,,,,0.0,,,,0.0,,,,,8.8,,,,,,,,ATS Mechanics v2,B
8.9,,,,0.0,,,,0.0,,,,,8.9,,,,,,,,ATS Mechanics v2,B
8.10,,,,0.0,,,,0.0,,,,,8.10,,,,,,,,ATS Mechanics v2,B
8.11,,,,0.0,,,,0.0,,,,,8.11,,,,,,,,ATS Mechanics v2,B
8.12,,,,0.0,,,,0.0,,,,,8.12,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
8.,"Total Price: 
",,,,,,,0.0,,,,,8.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
9.,,,,,,,,,,,,,9.,,,,,,,,ATS Mechanics v2,B
9.1,,,,0.0,,,,0.0,,,,,9.1,,,,,,,,ATS Mechanics v2,B
9.2,,,,0.0,,,,0.0,,,,,9.2,,,,,,,,ATS Mechanics v2,B
9.3,,,,0.0,,,,0.0,,,,,9.3,,,,,,,,ATS Mechanics v2,B
9.4,,,,0.0,,,,0.0,,,,,9.4,,,,,,,,ATS Mechanics v2,B
9.5,,,,0.0,,,,0.0,,,,,9.5,,,,,,,,ATS Mechanics v2,B
9.6,,,,0.0,,,,0.0,,,,,9.6,,,,,,,,ATS Mechanics v2,B
9.7,,,,0.0,,,,0.0,,,,,9.7,,,,,,,,ATS Mechanics v2,B
9.8,,,,0.0,,,,0.0,,,,,9.8,,,,,,,,ATS Mechanics v2,B
9.9,,,,0.0,,,,0.0,,,,,9.9,,,,,,,,ATS Mechanics v2,B
9.10,,,,0.0,,,,0.0,,,,,9.10,,,,,,,,ATS Mechanics v2,B
9.11,,,,0.0,,,,0.0,,,,,9.11,,,,,,,,ATS Mechanics v2,B
9.12,,,,0.0,,,,0.0,,,,,9.12,,,,,,,,ATS Mechanics v2,B
9.13,,,,0.0,,,,0.0,,,,,9.13,,,,,,,,ATS Mechanics v2,B
9.14,,,,0.0,,,,0.0,,,,,9.14,,,,,,,,ATS Mechanics v2,B
9.15,,,,0.0,,,,0.0,,,,,9.15,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
